subject,trial_id,condition,onset_s,tr_s,tr_relative,time_from_cue_s,nacc_psc,vta_psc
sub-14,12,reward,145.0,1.0,6,6.0,0.32333967089653015,0.7989859580993652
sub-14,12,reward,145.0,1.0,7,7.0,-0.40713515877723694,-0.9908018708229065
sub-14,12,reward,145.0,1.0,8,8.0,0.16138926148414612,-0.6064484715461731
sub-14,12,reward,145.0,1.0,9,9.0,-0.13315750658512115,0.5134143233299255
sub-14,12,reward,145.0,1.0,10,10.0,0.32943493127822876,-0.11831934750080109
sub-14,12,reward,145.0,1.0,11,11.0,-0.9425032138824463,-0.4163430333137512
sub-14,12,reward,145.0,1.0,12,12.0,-0.7615026235580444,0.3009016215801239
sub-14,12,reward,145.0,1.0,13,13.0,0.24064713716506958,0.298404723405838
sub-14,13,reward,153.0,1.0,-2,-2.0,0.32333967089653015,0.7989859580993652
sub-14,13,reward,153.0,1.0,-1,-1.0,-0.40713515877723694,-0.9908018708229065
sub-14,13,reward,153.0,1.0,0,0.0,0.16138926148414612,-0.6064484715461731
sub-14,13,reward,153.0,1.0,1,1.0,-0.13315750658512115,0.5134143233299255
sub-14,13,reward,153.0,1.0,2,2.0,0.32943493127822876,-0.11831934750080109
sub-14,13,reward,153.0,1.0,3,3.0,-0.9425032138824463,-0.4163430333137512
sub-14,13,reward,153.0,1.0,4,4.0,-0.7615026235580444,0.3009016215801239
sub-14,13,reward,153.0,1.0,5,5.0,0.24064713716506958,0.298404723405838
sub-14,13,reward,153.0,1.0,6,6.0,-1.7042187452316284,-0.1457204669713974
sub-14,13,reward,153.0,1.0,7,7.0,-0.0020801324862986803,-0.3275163769721985
sub-14,13,reward,153.0,1.0,8,8.0,-0.0016931311693042517,0.3191582262516022
sub-14,13,reward,153.0,1.0,9,9.0,0.9013842940330505,0.1556270271539688
sub-14,13,reward,153.0,1.0,10,10.0,-0.13315750658512115,-0.27854296565055847
sub-14,13,reward,153.0,1.0,11,11.0,-0.8415248394012451,-0.9102766513824463
sub-14,13,reward,153.0,1.0,12,12.0,0.10538048297166824,-0.6936132311820984
sub-14,13,reward,153.0,1.0,13,13.0,-0.16554951667785645,-0.08677562326192856
sub-14,14,neutral,161.0,1.0,-2,-2.0,-1.7042187452316284,-0.1457204669713974
sub-14,14,neutral,161.0,1.0,-1,-1.0,-0.0020801324862986803,-0.3275163769721985
sub-14,14,neutral,161.0,1.0,0,0.0,-0.0016931311693042517,0.3191582262516022
sub-14,14,neutral,161.0,1.0,1,1.0,0.9013842940330505,0.1556270271539688
sub-14,14,neutral,161.0,1.0,2,2.0,-0.13315750658512115,-0.27854296565055847
